page;page-href;linkToDockerfile
"Previous";"https://github.com/search?p=44&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/morevnaproject/morevna-builds/blob/375971891eb7cd8ea5afd222cf526c51663140d1/docker/debian-7-64bit/Dockerfile"
"Previous";"https://github.com/search?p=16&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/wowofbob/docker-haskell-ubuntu-with-stack/blob/f8b53bfc0e4cdacf74ff917d1f3781f4a62612bc/Dockerfile"
"Previous";"https://github.com/search?p=21&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/mad-eye/meteor-docker/blob/a17c595c369ea18bb271221740dc4b064f34c25a/dockerfiles/justGit/Dockerfile"
"Previous";"https://github.com/search?p=78&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/philwebb/spring-boot-concourse/blob/7a7c426eaea6ac730fb8e74e5c9e94644d5cb2fb/ci/docker-builds/base/Dockerfile"
"Previous";"https://github.com/search?p=25&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/antonio-fasolato/dockerrecipes/blob/a2e38dedb57d1bae5f8b498c2ae1ef4565cdd74e/Dockerfile"
"Previous";"https://github.com/search?p=68&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/dengliu/grafana/blob/9a7a27184598df008a95bc0f8027f03a00eba45f/docker/debtest/Dockerfile"
"Previous";"https://github.com/search?p=42&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/kimsk/try-docker/blob/777dbb3d53692297181b4071f857e414baaec63d/file-layers/a.Dockerfile"
"Previous";"https://github.com/search?p=21&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/ownport/dockerfiles-sandbox/blob/2c787dcefff83ffa7ead3cbaaa9f46f830f1bcd6/devops/supervisor/Dockerfile"
"Previous";"https://github.com/search?p=28&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/locatw/AppHost/blob/37427ff7a7015a7690e8c2f16beac600e8ad6be6/Mono/Dockerfile"
"Previous";"https://github.com/search?p=8&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/fifaquake/CDevDocker/blob/dd96f7028fb674edfed49f3c1c8d8654f452af51/Dockerfile"
"Previous";"https://github.com/search?p=32&q=language%3ADockerfile+RUN+apt-get&ref=searchresults&type=Code&utf8=%E2%9C%93";"/InternalError503/cyberfox/blob/b016c6c2e1b5812872c3eb13d1be7d04cc7af3a4/release/docker/firefox-snap/Dockerfile"
